date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;Positif Harian;;;
07/11/21;3;22;444;;;
08/11/21;8;28;244;;;
09/11/21;3;22;434;;;
10/11/21;5;23;480;;;
11/11/21;8;28;435;;;
12/11/21;4;20;399;;;
13/11/21;3;22;359;;;
14/11/21;5;23;339;;;
15/11/21;4;21;221;;;
16/11/21;4;22;347;;;
17/11/21;7;24;522;;;
18/11/21;8;26;400;;;
19/11/21;4;20;360;;;
20/11/21;4;24;393;;;
21/11/21;6;24;314;;;
22/11/21;5;22;186;;;
23/11/21;2;19;394;;;
24/11/21;7;25;451;;;
25/11/21;7;26;372;;;
26/11/21;4;21;453;;;
27/11/21;3;22;404;;;
28/11/21;3;23;264;;;
29/11/21;8;27;176;;;
30/11/21;6;28;297;;;
01/12/21;10;34;278;;;
02/12/21;13;36;311;;;
03/12/21;11;32;245;;;
04/12/21;5;26;246;;;
05/12/21;7;28;196;;;
06/12/21;5;22;130;;;
07/12/21;6;27;261;;;
08/12/21;11;30;264;;;
09/12/21;10;29;220;;;
10/12/21;8;26;192;;;
11/12/21;7;27;228;;;
12/12/21;10;29;163;;;
13/12/21;11;29;106;;;
14/12/21;8;26;190;;;
15/12/21;10;27;205;;;
16/12/21;10;26;213;;;
17/12/21;9;26;291;;;
18/12/21;8;27;232;;;
19/12/21;11;28;164;;;
20/12/21;9;25;133;;;
21/12/21;9;27;216;;;
22/12/21;15;32;179;;;
23/12/21;10;27;136;;;
24/12/21;14;34;204;;;
25/12/21;5;23;255;;;
26/12/21;8;26;92;;;
27/12/21;9;26;120;;;
28/12/21;11;31;278;;;
29/12/21;13;32;194;;;
30/12/21;16;38;189;;;
31/12/21;20;52;180;;;
01/01/22;3;24;274;;;
02/01/22;11;35;174;;;
03/01/22;14;36;265;;;
04/01/22;11;33;299;;;
05/01/22;12;34;404;;;
06/01/22;10;30;533;;;
07/01/22;6;25;518;;;
08/01/22;8;31;479;;;
09/01/22;7;28;529;;;
10/01/22;7;27;454;;;
11/01/22;1;20;802;;;
12/01/22;5;25;646;;;
13/01/22;8;29;793;;;
14/01/22;6;25;850;;;
15/01/22;5;26;1054;;;
16/01/22;6;26;855;;;
17/01/22;5;23;772;;;
18/01/22;1;21;1362;;;
19/01/22;6;26;1745;;;
20/01/22;6;26;2116;;;
21/01/22;7;25;2604;;;
22/01/22;6;25;3205;;;
23/01/22;7;25;2925;;;
24/01/22;8;26;2927;;;
25/01/22;8;28;4878;;;
26/01/22;9;27;7010;;;
27/01/22;10;28;8077;;;
28/01/22;7;26;9905;;;
29/01/22;9;32;11588;;;
30/01/22;8;28;12422;;;
31/01/22;14;34;10185;;;
01/02/22;16;34;16021;;;
02/02/22;12;36;17895;;;
03/02/22;9;32;27197;;;
04/02/22;5;24;32211;;;
05/02/22;4;28;33729;;;
06/02/22;4;26;36057;;;
07/02/22;7;28;26121;;;
08/02/22;4;24;37492;;;
09/02/22;3;23;46843;;;
10/02/22;7;30;40618;;;
11/02/22;3;24;40489;;;
12/02/22;1;24;55209;;;
13/02/22;-1;21;44526;;;
14/02/22;5;27;36501;;;
15/02/22;1;23;57049;;;
16/02/22;1;21;64718;;;
17/02/22;2;24;63956;;;
18/02/22;-1;19;59635;;;
19/02/22;0;24;59384;;;
20/02/22;-3;20;48484;;;
21/02/22;1;21;34418;;;
22/02/22;1;22;57491;;;
23/02/22;2;23;61488;;;
24/02/22;3;25;57426;;;
25/02/22;2;27;49447;;;
26/02/22;1;29;46643;;;
27/02/22;6;30;34976;;;
28/02/22;12;32;25054;;;
01/03/22;5;32;24728;;;
02/03/22;8;35;40920;;;
03/03/22;11;33;37259;;;
04/03/22;6;29;26347;;;
05/03/22;2;26;30156;;;
06/03/22;4;27;24867;;;
07/03/22;4;24;21380;;;
08/03/22;4;25;30148;;;
09/03/22;6;27;26336;;;
10/03/22;7;28;21311;;;
11/03/22;6;26;16110;;;
12/03/22;5;28;14900;;;
13/03/22;5;27;11585;;;
14/03/22;6;24;9629;;;
15/03/22;6;26;14408;;;
16/03/22;9;30;13018;;;
17/03/22;8;28;11532;;;
18/03/22;6;24;9528;;;
19/03/22;6;28;7951;;;
20/03/22;5;27;5922;;;
21/03/22;8;26;4699;;;
22/03/22;7;25;7464;;;
23/03/22;8;27;6376;;;
24/03/22;11;30;5808;;;
25/03/22;11;32;4857;;;
26/03/22;8;30;4189;;;
27/03/22;11;32;3077;;;
28/03/22;12;32;2798;;;
29/03/22;12;32;3895;;;
30/03/22;16;36;3840;;;
31/03/22;18;40;3332;;;
01/04/22;17;44;2930;;;
02/04/22;6;42;2300;;;
03/04/22;-21;8;1933;;;
04/04/22;-2;25;1661;;;
05/04/22;-4;20;2282;;;
06/04/22;0;24;2400;;;
07/04/22;1;24;2089;;;
08/04/22;0;21;1755;;;
09/04/22;-1;23;1468;;;
10/04/22;-2;22;1071;;;
11/04/22;3;23;1196;;;
12/04/22;4;25;1455;;;
13/04/22;6;26;1551;;;
14/04/22;11;32;833;;;
15/04/22;10;27;922;;;
16/04/22;3;25;602;;;
17/04/22;3;25;607;;;
18/04/22;7;27;559;;;
19/04/22;3;23;837;;;
20/04/22;11;35;741;;;
21/04/22;13;36;585;;;
22/04/22;10;31;651;;;
23/04/22;13;40;522;;;
24/04/22;15;41;382;;;
25/04/22;20;43;317;;;
26/04/22;25;53;576;;;
27/04/22;26;52;617;;;
28/04/22;33;67;412;;;
29/04/22;34;68;395;;;
30/04/22;24;65;329;;;
01/05/22;22;74;244;;;
02/05/22;21;38;168;;;
03/05/22;37;64;107;;;
04/05/22;41;66;176;;;
05/05/22;45;69;250;;;
06/05/22;31;52;245;;;
